name,address,latitude,longitude,hours,website,phone,cuisine,source,maps_link
Eagle's Restaurant,2610 16th Street North,33.5435917,-86.8309234,,https://eaglesrestaurant.menufy.com/,+1 205-320-0099,Soul Food / Southern,https://www.openstreetmap.org/node/2718288565,https://www.google.com/maps/search/?api=1&query=Eagle's%20Restaurant%2033.5435917%2C-86.8309234
East Buffet,"East Buffet, Chalkville Road, Trussville, Jefferson County, Alabama, 35235, United States",33.6417845,-86.622002,,,,asian,https://www.openstreetmap.org/node/6352909944,https://www.google.com/maps/search/?api=1&query=East%20Buffet%2033.6417845%2C-86.622002
EastWest,"2306 2nd Ave N, Birmingham, AL 35203",,,,https://www.eastwestbirmingham.com,(205) 593-4232,Asian Fusion,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=EastWest%202306%202nd%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
El Barrio,"2211 2nd Ave N, Birmingham, AL 35203",,,,https://www.elbarriobirmingham.com,205-868-3737,Mexican / Latin,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=El%20Barrio%202211%202nd%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
El Cazador,"El Cazador, Edwards Lake Road, Huffman Gardens, Trussville, Jefferson County, Alabama, 35235, United States",33.5979093,-86.6471538,,http://www.elcazadoralabama.com/trussville/,-1769,mexican,https://www.openstreetmap.org/node/8263205882,https://www.google.com/maps/search/?api=1&query=El%20Cazador%2033.5979093%2C-86.6471538
El Gran Cafe Castillo,"430 82nd St S, Birmingham, AL 35206",,,,(search: “El Gran Cafe Castillo Birmingham”),,Honduran / Latin,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=El%20Gran%20Cafe%20Castillo%20430%2082nd%20St%20S%2C%20Birmingham%2C%20AL%2035206
El Taquero,"1835 Center Point Parkway, Birmingham, AL, 35215",33.6343981,-86.6838186,"Su-Th 10:00-21:00; Fr, Sa 10:00-22:00",,-6352,mexican,https://www.openstreetmap.org/way/756761761,https://www.google.com/maps/search/?api=1&query=El%20Taquero%2033.6343981%2C-86.6838186
El Vecino Mexican Restaurant,"1492 Forestdale Boulevard, Birmingham, AL, 35214",33.5653309,-86.8966865,"Su-Th 11:00-21:00; Fr, Sa 11:15-22:00",,-6190,mexican,https://www.openstreetmap.org/node/7207028885,https://www.google.com/maps/search/?api=1&query=El%20Vecino%20Mexican%20Restaurant%2033.5653309%2C-86.8966865
El Zun Zun,"4105 Crosshaven Dr, Vestavia Hills, AL 35243",33.4567146,-86.7306538,,https://www.el-zunzun.com/,(205) 791-7711,latin_american,https://www.openstreetmap.org/way/746054627,https://www.google.com/maps/search/?api=1&query=El%20Zun%20Zun%2033.4567146%2C-86.7306538
Eli's Jerusalem Grill,"4673 Highway 280, Birmingham, AL 35242",,,,https://www.elisjerusalemgrill.com,,Middle Eastern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Eli's%20Jerusalem%20Grill%204673%20Highway%20280%2C%20Birmingham%2C%20AL%2035242
Ensley's Seafood Express III,"2161 Carson Road, Birmingham, AL, 35215",33.6435548,-86.7068799,Mo-Sa 10:30-22:00; Su closed,,-2009,seafood,https://www.openstreetmap.org/way/767169957,https://www.google.com/maps/search/?api=1&query=Ensley's%20Seafood%20Express%20III%2033.6435548%2C-86.7068799
Eugene’s Hot Chicken,"2268 9th Ave N, Birmingham, AL 35203",,,,eugeneshotchicken.com,,Fried Chicken,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Eugene%E2%80%99s%20Hot%20Chicken%202268%209th%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Exotic Wings & Things,"208 Green Springs Avenue South, Birmingham, AL, 35205",33.4846595,-86.8239949,,,+1 205-320-1090,,https://www.openstreetmap.org/node/3442829110,https://www.google.com/maps/search/?api=1&query=Exotic%20Wings%20%26%20Things%2033.4846595%2C-86.8239949
Falafel Cafe,"113 20th St S, Birmingham, AL 35233",33.5083207,-86.8031453,,http://falafelcafe.net/,(205) 731-3121*,mediterranean,https://www.openstreetmap.org/node/5991923146,https://www.google.com/maps/search/?api=1&query=Falafel%20Cafe%2033.5083207%2C-86.8031453
Farm Bowl + Juice Co.,"1920 29th Ave S, Homewood, AL 35209",,,,https://www.farmbowljuiceco.com,(205) 783-5090,Healthy / Juice Bar,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Farm%20Bowl%20%2B%20Juice%20Co.%201920%2029th%20Ave%20S%2C%20Homewood%2C%20AL%2035209
Fat Charles BBQ,"(Food truck based in Birmingham, AL 35203)",,,,https://www.fatcharlesbbq.com,(205) 615-4950,"Barbecue, Tacos",BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Fat%20Charles%20BBQ%20(Food%20truck%20based%20in%20Birmingham%2C%20AL%2035203)
Fife's,"2321 4th Ave N, Birmingham, AL 35203",,,,,(205) 254-9400,Southern / Meat & Three,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Fife's%202321%204th%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Flemings,"Flemings, Summit Boulevard, The Summit, Birmingham, Jefferson County, Alabama, 35243, United States",33.4455262,-86.7330594,,,,american,https://www.openstreetmap.org/node/2980034592,https://www.google.com/maps/search/?api=1&query=Flemings%2033.4455262%2C-86.7330594
FoodBar,"3156 Heights Village, Vestavia Hills, AL 35243",,,,https://www.foodbarbham.com,(205) 876-8100,New American / Southern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=FoodBar%203156%20Heights%20Village%2C%20Vestavia%20Hills%2C%20AL%2035243
Formosa Chinese Restaurant,"Formosa Chinese Restaurant, Lornaridge Lane, Forest Ridge Estates, Patton Chapel, Hoover, Jefferson County, Alabama, 35216, United States",33.3911703,-86.7957321,,,,chinese,https://www.openstreetmap.org/way/808122503,https://www.google.com/maps/search/?api=1&query=Formosa%20Chinese%20Restaurant%2033.3911703%2C-86.7957321
Front Porch,"Front Porch, Village Center Way, Ross Bridge, Hoover, Jefferson County, Alabama, 35142, United States",33.3967523,-86.8837853,,,,pizza;sandwich;burger;chicken;american,https://www.openstreetmap.org/node/2441863459,https://www.google.com/maps/search/?api=1&query=Front%20Porch%2033.3967523%2C-86.8837853
Frontera Grill,"Frontera Grill, Chalkville Road, Trussville, Jefferson County, Alabama, 35235, United States",33.6418351,-86.622122,,,,mexican,https://www.openstreetmap.org/node/6352909943,https://www.google.com/maps/search/?api=1&query=Frontera%20Grill%2033.6418351%2C-86.622122
Fuku Ramen 280,"210 Doug Baker Blvd #100, Birmingham, AL 35242",,,,https://fukuramenbirminghamal.kwickmenu.com,(205) 747-0557,Japanese / Ramen,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Fuku%20Ramen%20280%20210%20Doug%20Baker%20Blvd%20%23100%2C%20Birmingham%2C%20AL%2035242
Full Moon Bar-B-Que,"5988 N Chalkville Rd, Birmingham, AL, 35235",33.6404279,-86.6223013,"Mo-Th 10:30-21:00; Fr, Sa 10:30-22:00; Su 11:00-21:00",https://fullmoonbbq.com/location/trussville,-2374,barbecue,https://www.openstreetmap.org/way/762007831,https://www.google.com/maps/search/?api=1&query=Full%20Moon%20Bar-B-Que%2033.6404279%2C-86.6223013
Full Moon Bar-B-Que (Southside),"525 25th St S, Birmingham, AL 35233",,,,https://fullmoonbbq.com,205-324-1007,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Full%20Moon%20Bar-B-Que%20(Southside)%20525%2025th%20St%20S%2C%20Birmingham%2C%20AL%2035233
Full Moon Barbecue,"Full Moon Barbecue, Valley Avenue, Birmingham, Jefferson County, Alabama, 35209, United States",33.471604,-86.8220535,,,,barbecue;southern,https://www.openstreetmap.org/node/4839324595,https://www.google.com/maps/search/?api=1&query=Full%20Moon%20Barbecue%2033.471604%2C-86.8220535
Full Moon BBQ,"525 25th St S, Birmingham, AL 35233",33.4256443,-86.7034374,,https://fullmoonbbq.com,(205) 324-1007,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Full%20Moon%20BBQ%20525%2025th%20St%20S%2C%20Birmingham%2C%20AL%2035233
Galley & Garden,"2220 Highland Avenue South, Birmingham, AL, 35205",33.5011315,-86.7907193,,https://www.galleyandgarden.com/,+1 205 939 5551,New American/Fine Dining,https://www.openstreetmap.org/way/966316448,https://www.google.com/maps/search/?api=1&query=Galley%20%26%20Garden%2033.5011315%2C-86.7907193
GianMarco's,Broadway Street,33.4622003,-86.8126008,,https://www.gianmarcosbhm.com,(205) 871-9622,italian;mediterranean,https://www.openstreetmap.org/node/5627820452,https://www.google.com/maps/search/?api=1&query=GianMarco's%2033.4622003%2C-86.8126008
Giuseppe's Cafe,"925 8th St S, Birmingham, AL 35205",33.4947042,-86.8138695,,giuseppescafe.com,,italian,https://www.openstreetmap.org/way/775431512,https://www.google.com/maps/search/?api=1&query=Giuseppe's%20Cafe%2033.4947042%2C-86.8138695
Golden Corral,"Golden Corral, Lorna Road, Hoover, Jefferson County, Alabama, 35216, United States",33.4010408,-86.8030948,,,,american;buffet,https://www.openstreetmap.org/way/808122507,https://www.google.com/maps/search/?api=1&query=Golden%20Corral%2033.4010408%2C-86.8030948
Golden Rule Bar-B-Q,"2504 Crestwood Blvd, Birmingham, AL 35210",,,,http://www.goldenrulebbq.biz,(205) 224-2014,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Golden%20Rule%20Bar-B-Q%202504%20Crestwood%20Blvd%2C%20Birmingham%2C%20AL%2035210
Golden Rule BBQ,"2504 Crestwood Blvd, Irondale, AL 35210",33.4030402,-86.8055454,,https://goldenrulebbq.com,(205) 224-2014,Barbecue,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Golden%20Rule%20BBQ%202504%20Crestwood%20Blvd%2C%20Irondale%2C%20AL%2035210
Golden Temple,"1901 11th Ave S, Birmingham, AL 35205",33.4998742,-86.797325,,https://goldentemplehealthfoods.com/,,Vegetarian / Health Food,https://www.openstreetmap.org/node/6160606499,https://www.google.com/maps/search/?api=1&query=Golden%20Temple%2033.4998742%2C-86.797325
Gordos,"433 Valley Ave, Homewood, AL 35209",,,,,,Mexican,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Gordos%20433%20Valley%20Ave%2C%20Homewood%2C%20AL%2035209
Grande Mexico,"Grande Mexico, 22nd Street South, Highland Avenue Historic District, Five Points South, Birmingham, Jefferson County, Alabama, 35025, United States",33.5022236,-86.7903749,,,,mexican,https://www.openstreetmap.org/node/9008748527,https://www.google.com/maps/search/?api=1&query=Grande%20Mexico%2033.5022236%2C-86.7903749
Great Wall,"706 Valley Avenue, Birmingham, AL, 35209",33.4764384,-86.8156537,"Mo-Th 11:00-15:00, 16:30-21:30; Fr, Sa 11:00-15:00, 16:30-22:30; Su 11:00-21:00",https://www.greatwallbirmingham.com/,-2614,chinese,https://www.openstreetmap.org/node/6185182251,https://www.google.com/maps/search/?api=1&query=Great%20Wall%2033.4764384%2C-86.8156537
Green Acres Cafe,"1705 4th Ave N, Birmingham, AL 35203",,,,greenacrescafe.org,(205) 251-3875,Southern / Fried Chicken,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Green%20Acres%20Cafe%201705%204th%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Griddle House,"1291 Center Point Parkway, Birmingham, AL, 35215",33.6198218,-86.6844603,,,-2038,,https://www.openstreetmap.org/way/966069782,https://www.google.com/maps/search/?api=1&query=Griddle%20House%2033.6198218%2C-86.6844603
Guadalaiara Grill,"Riverchase Galleria, 3000, Galleria Circle, Chace Lake, Hoover, Jefferson County, Alabama, 35244, United States",33.3812916,-86.8069641,,,,,https://www.openstreetmap.org/way/678027033,https://www.google.com/maps/search/?api=1&query=Guadalaiara%20Grill%2033.3812916%2C-86.8069641
Gus' Hot Dogs,"19th Street North, Fourth Avenue Historic District, Birmingham, Jefferson County, Alabama, 35203, United States",33.5166986,-86.8081687,,https://gusshotdogs.com/,,hot_dog,https://www.openstreetmap.org/way/567939984,https://www.google.com/maps/search/?api=1&query=Gus'%20Hot%20Dogs%2033.5166986%2C-86.8081687
Gus’s Hot Dogs,"1915 4th Ave N, Birmingham, AL 35203",,,,(search: “Gus’s Hot Dogs Birmingham”),(205) 251-4540,Hot Dogs / American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Gus%E2%80%99s%20Hot%20Dogs%201915%204th%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Gus's World Famous Fried Chicken,"2201 2nd Avenue South, 35233",33.5121235,-86.8001857,,,,,https://www.openstreetmap.org/node/6724741685,https://www.google.com/maps/search/?api=1&query=Gus's%20World%20Famous%20Fried%20Chicken%2033.5121235%2C-86.8001857
Gyros Cafe,"Gyros Cafe, Chalkville Road, Grayson Valley, Jefferson County, Alabama, 35235, United States",33.650217,-86.634911,,,,greek,https://www.openstreetmap.org/way/225930115,https://www.google.com/maps/search/?api=1&query=Gyros%20Cafe%2033.650217%2C-86.634911
Habañeros Mexican Grill,"Habañeros Mexican Grill, Veterans Circle, Trussville, Jefferson County, Alabama, 35235, United States",33.597167,-86.6430016,,,,mexican,https://www.openstreetmap.org/node/12090860789,https://www.google.com/maps/search/?api=1&query=Haba%C3%B1eros%20Mexican%20Grill%2033.597167%2C-86.6430016
Hacienda Mexican Grill,"Hacienda Mexican Grill, Linwood Drive, Hoover, Shelby County, Alabama, 35244, United States",33.3852618,-86.738304,,https://www.haciendamexicangrill.com/,,mexican,https://www.openstreetmap.org/node/6267180524,https://www.google.com/maps/search/?api=1&query=Hacienda%20Mexican%20Grill%2033.3852618%2C-86.738304
Hamburger Heaven,"1703 Crestwood Blvd, Irondale, AL 35210",33.5312432,-86.7067855,,https://thehamburgerheaven.com/,(205) 951-3570,American / Burgers,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Hamburger%20Heaven%201703%20Crestwood%20Blvd%2C%20Irondale%2C%20AL%2035210
Hattie B's,"2808 7th Ave S, Birmingham, AL 35233",,,,https://hattieb.com,,Hot Chicken,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Hattie%20B's%202808%207th%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
Hattie B's Hot Chicken,"2808 7th Avenue South, Birmingham, AL, 35233",33.5114843,-86.7885768,"Mo-Th 11:00-22:00; Fr, Sa 11:00-23:00; Su 11:00-16:00",https://hattieb.com/,-6800,chicken,https://www.openstreetmap.org/node/7792119993,https://www.google.com/maps/search/?api=1&query=Hattie%20B's%20Hot%20Chicken%2033.5114843%2C-86.7885768
Heavenly Doughnuts,"Heavenly Doughnuts, Cahaba River Road, Cahaba Commons, Birmingham, Jefferson County, Alabama, 35243, United States",33.4285728,-86.7286582,,,,donut,https://www.openstreetmap.org/way/1077514132,https://www.google.com/maps/search/?api=1&query=Heavenly%20Doughnuts%2033.4285728%2C-86.7286582
Helen,"2013 2nd Ave N, Birmingham, AL 35203",,,,helenbham.com,,Southern / Steakhouse,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Helen%202013%202nd%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Henrietta's Deli,"Henrietta's Deli, South Chalkville Road, Trussville, Jefferson County, Alabama, 35173, United States",33.6179683,-86.6080429,,https://www.henriettasdeli.com/,,sandwich,https://www.openstreetmap.org/node/2155296908,https://www.google.com/maps/search/?api=1&query=Henrietta's%20Deli%2033.6179683%2C-86.6080429
Hero Doughnuts,"1701 1st Ave S #135, Birmingham, AL 35233",,,,https://www.herodoughnutsandbuns.com,205-558-8011,Doughnuts / Sandwiches,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Hero%20Doughnuts%201701%201st%20Ave%20S%20%23135%2C%20Birmingham%2C%20AL%2035233
Hero Doughnuts and Buns,"1701 1st Avenue South, Birmingham, AL, 35233",33.5101567,-86.8068506,Mo-Su 07:00-16:30,https://www.herodoughnutsandbuns.com/,-8773,donut,https://www.openstreetmap.org/node/6228590439,https://www.google.com/maps/search/?api=1&query=Hero%20Doughnuts%20and%20Buns%2033.5101567%2C-86.8068506
Hibachi Express,"Hibachi Express, 401, 19th Street South, Fourth Avenue Historic District, Five Points South, Birmingham, Jefferson County, Alabama, 35233, United States",33.5077857,-86.8027843,,https://miloshamburgers.com/,,japanese,https://www.openstreetmap.org/node/5991923147,https://www.google.com/maps/search/?api=1&query=Hibachi%20Express%2033.5077857%2C-86.8027843
Highlands Bar & Grill,"2011 11th Ave S, Birmingham, AL 35205",,,,https://highlandsbarandgrill.com,205-939-1400,Fine Dining / Southern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Highlands%20Bar%20%26%20Grill%202011%2011th%20Ave%20S%2C%20Birmingham%2C%20AL%2035205
Homewood Gourmet,"1919 28th Ave S Ste 113, Homewood, AL 35209",,,,https://www.homewoodgourmet.com/,,American / Deli,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Homewood%20Gourmet%201919%2028th%20Ave%20S%20Ste%20113%2C%20Homewood%2C%20AL%2035209
Hong Kong City,"873 Dennison Avenue Southwest, Birmingham, AL, 35211",33.4794042,-86.8414383,"Mo-Th 11:00-22:00; Fr, Sa 11:00-22:30; Su 12:00-20:00",,-1636,chinese,https://www.openstreetmap.org/node/7128546528,https://www.google.com/maps/search/?api=1&query=Hong%20Kong%20City%2033.4794042%2C-86.8414383
Hooters,"Hooters, Edwards Lake Road, Birmingham, Jefferson County, Alabama, 35235, United States",33.5948175,-86.6484033,,https://www.hooters.com/,,burger,https://www.openstreetmap.org/way/204281721,https://www.google.com/maps/search/?api=1&query=Hooters%2033.5948175%2C-86.6484033
Hot & Hot Fish Club,"2901 2nd Ave S #110, Birmingham, AL 35233",,,,https://www.hotandhotfishclub.com,205-933-5474,Fine Dining / Southern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Hot%20%26%20Hot%20Fish%20Club%202901%202nd%20Ave%20S%20%23110%2C%20Birmingham%2C%20AL%2035233
Hot and Hot Fish Club,"Hot and Hot Fish Club, 29th Street South, Chestnut Hill Historic District, Highland Residence Park, Birmingham, Jefferson County, Alabama, 35205, United States",33.5165231,-86.7905445,,https://www.hotandhotfishclub.com/,,,https://www.openstreetmap.org/node/5872592870,https://www.google.com/maps/search/?api=1&query=Hot%20and%20Hot%20Fish%20Club%2033.5165231%2C-86.7905445
Hot Box,"114 14th St S, Birmingham, AL 35233",,,,https://www.hotboxbhm.com,205-224-5632,American / Burgers,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Hot%20Box%20114%2014th%20St%20S%2C%20Birmingham%2C%20AL%2035233
Hunan Garden,"Hunan Garden, Montgomery Highway, Chace Lake, Hoover, Jefferson County, Alabama, 35244, United States",33.3700475,-86.7986205,,,,chinese,https://www.openstreetmap.org/node/4253645066,https://www.google.com/maps/search/?api=1&query=Hunan%20Garden%2033.3700475%2C-86.7986205
IHOP,"IHOP, Ludington Lane, Birmingham, Jefferson County, Alabama, 35210, United States",33.5312949,-86.7175528,,,,breakfast;pancake,https://www.openstreetmap.org/way/626785777,https://www.google.com/maps/search/?api=1&query=IHOP%2033.5312949%2C-86.7175528
Ikko Japanese Ramen & Sushi,"4700 Hwy 280 #13, Birmingham, AL 35242",,,,(search: “Ikko Japanese 280 Birmingham”),(205) 408-1800*,Japanese / Sushi / Ramen,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Ikko%20Japanese%20Ramen%20%26%20Sushi%204700%20Hwy%20280%20%2313%2C%20Birmingham%2C%20AL%2035242
IKKO Japanese Ramen and Sushi,"IKKO Japanese Ramen and Sushi, 11th Avenue South, Phelan Park Historic District, Five Points South, Birmingham, Jefferson County, Alabama, 35205, United States",33.499961,-86.797254,,https://www.ikkobirmingham.com,,,https://www.openstreetmap.org/node/8427040226,https://www.google.com/maps/search/?api=1&query=IKKO%20Japanese%20Ramen%20and%20Sushi%2033.499961%2C-86.797254
Irondale Cafe (Whistlestop Cafe),"1906 1st Ave N, Irondale, AL 35210",,,,https://www.irondalecafe.com/,,Southern,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Irondale%20Cafe%20(Whistlestop%20Cafe)%201906%201st%20Ave%20N%2C%20Irondale%2C%20AL%2035210
J & J Grocery & Deli,,,,,,,Soul Food / Deli,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=J%20%26%20J%20Grocery%20%26%20Deli
J&C Seafood,"J&C Seafood, Hoover Court, Hoover, Jefferson County, Alabama, 35226, United States",33.401584,-86.8070743,,,,seafood,https://www.openstreetmap.org/way/825081832,https://www.google.com/maps/search/?api=1&query=J%26C%20Seafood%2033.401584%2C-86.8070743
Jack Brown's,"2811 7th Ave S, Birmingham, AL 35233",,,,https://www.jackbrownsjoint.com/locations/birmingham,(205) 718-7892,"Burgers, American",BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Jack%20Brown's%202811%207th%20Ave%20S%2C%20Birmingham%2C%20AL%2035233
Jake’s Soulfood Cafe,"3075 John Hawkins Pkwy Ste 116, Hoover, AL 35244",,,,,,Soul Food,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Jake%E2%80%99s%20Soulfood%20Cafe%203075%20John%20Hawkins%20Pkwy%20Ste%20116%2C%20Hoover%2C%20AL%2035244
Jalisco,"Jalisco, 4th Avenue, Fultondale, Jefferson County, Alabama, 35068, United States",33.6035344,-86.8055554,,,,mexican,https://www.openstreetmap.org/way/885665696,https://www.google.com/maps/search/?api=1&query=Jalisco%2033.6035344%2C-86.8055554
Jasmine's Cafe,"2201 6th Ave N, Birmingham, AL 35203",,,,,,American/Cafe,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Jasmine's%20Cafe%202201%206th%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Jason's Deli,"Jason's Deli, Dewberry Drive, Shelby County, Alabama, 35261, United States",33.4211979,-86.6993828,,,,sandwich,https://www.openstreetmap.org/node/5925078514,https://www.google.com/maps/search/?api=1&query=Jason's%20Deli%2033.4211979%2C-86.6993828
Jim 'N Nick's,"2831 Greystone Commercial Boulevard, 35242",33.4140369,-86.6665546,,https://www.jimnnicks.com,(205) 320-1060,barbecue,https://www.openstreetmap.org/way/757708060,https://www.google.com/maps/search/?api=1&query=Jim%20'N%20Nick's%2033.4140369%2C-86.6665546
Jinsei,"1830 29th Ave S, Homewood, AL 35209",,,,https://jinseisushi.com,205-802-1440,Japanese / Sushi,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Jinsei%201830%2029th%20Ave%20S%2C%20Homewood%2C%20AL%2035209
Johnny Brusco's Pizza,"Johnny Brusco's Pizza, John Hawkins Parkway, Timbercrest, Hoover, Jefferson County, Alabama, 35244, United States",33.3529292,-86.8641313,,,,pizza,https://www.openstreetmap.org/node/472503892,https://www.google.com/maps/search/?api=1&query=Johnny%20Brusco's%20Pizza%2033.3529292%2C-86.8641313
Johnny Ray's,"3431 Colonial Parkway, Birmingham, AL, 35243",33.4374964,-86.7280242,Mo-Sa 11:00-21:00,http://www.johnnyraysbbq.com,+1 205 968 8002,barbecue,https://www.openstreetmap.org/node/5636200812,https://www.google.com/maps/search/?api=1&query=Johnny%20Ray's%2033.4374964%2C-86.7280242
Johnny’s Restaurant,"2902 18th St S, Homewood, AL 35209",,,,https://www.johnnyshomewood.com,(205) 802-2711,Southern / Meat-and-three,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Johnny%E2%80%99s%20Restaurant%202902%2018th%20St%20S%2C%20Homewood%2C%20AL%2035209
Juniper,"3811 Clairmont Ave S, Birmingham, AL 35222",,,,https://www.juniperbham.com,,New American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Juniper%203811%20Clairmont%20Ave%20S%2C%20Birmingham%2C%20AL%2035222
K & K's Elegant Pastries,"236 Walker Chapel Plaza, Fultondale, AL 35068",,,,,,Bakery / Desserts,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=K%20%26%20K's%20Elegant%20Pastries%20236%20Walker%20Chapel%20Plaza%2C%20Fultondale%2C%20AL%2035068
Kabob-Licious,"1841 Montgomery Hwy Ste 105, Hoover, AL 35244",,,,kaboblicious.com,(205) 407-6777,Indian / Pakistani,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Kabob-Licious%201841%20Montgomery%20Hwy%20Ste%20105%2C%20Hoover%2C%20AL%2035244
King Buffet,"King Buffet, Montevallo Road, Holiday Gardens, Springdale, Birmingham, Jefferson County, Alabama, 35210, United States",33.5298692,-86.7155603,,,,chinese,https://www.openstreetmap.org/node/8265422215,https://www.google.com/maps/search/?api=1&query=King%20Buffet%2033.5298692%2C-86.7155603
Konomi,"Konomi, Chalkville Road, Trussville, Jefferson County, Alabama, 35235, United States",33.6447169,-86.6288428,,,,japanese,https://www.openstreetmap.org/node/2090026677,https://www.google.com/maps/search/?api=1&query=Konomi%2033.6447169%2C-86.6288428
Kool Korner,"1360 Montgomery Hwy, Vestavia Hills, AL 35216",,,,https://www.koolkornersandwiches.com,(205) 822-4406,"Cuban, Sandwiches",BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Kool%20Korner%201360%20Montgomery%20Hwy%2C%20Vestavia%20Hills%2C%20AL%2035216
La Calle Tacos & Snacks,595-101A,33.6404558,-86.6306605,,https://www.facebook.com/LaCalleTacosandSnack,-1623,mexican,https://www.openstreetmap.org/node/8263120669,https://www.google.com/maps/search/?api=1&query=La%20Calle%20Tacos%20%26%20Snacks%2033.6404558%2C-86.6306605
La Libertad,"2834 Pelham Pkwy, Pelham, AL 35124",,,,,(205) 620-1909,Latin American,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=La%20Libertad%202834%20Pelham%20Pkwy%2C%20Pelham%2C%20AL%2035124
La Paz,"La Paz, Mt Laurel Avenue, Mt. Laurel, Shelby County, Alabama, 35242, United States",33.4088373,-86.6305627,,,,mexican,https://www.openstreetmap.org/node/7784313880,https://www.google.com/maps/search/?api=1&query=La%20Paz%2033.4088373%2C-86.6305627
La Pera Mexican Restaurant,"La Pera Mexican Restaurant, Green Springs Highway, Edgemont, Homewood, Jefferson County, Alabama, 35209, United States",33.4678424,-86.8244824,,,,mexican,https://www.openstreetmap.org/way/586059870,https://www.google.com/maps/search/?api=1&query=La%20Pera%20Mexican%20Restaurant%2033.4678424%2C-86.8244824
Last Call Baking,"213 25th St N Ste A, Birmingham, AL 35203",,,,,,Bakery / Cafe,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Last%20Call%20Baking%20213%2025th%20St%20N%20Ste%20A%2C%20Birmingham%2C%20AL%2035203
Le Fresca,"2218 2nd Ave N, Birmingham, AL 35203",,,,https://www.lefrescabhm.com,205-593-4241,Italian,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Le%20Fresca%202218%202nd%20Ave%20N%2C%20Birmingham%2C%20AL%2035203
Little Donkey,"2821 Central Ave, Homewood, AL 35209",33.4829072,-86.7913989,,https://thelittledonkey.com,(205) 703-7000,Mexican,BirminghamRestaurants.csv,https://www.google.com/maps/search/?api=1&query=Little%20Donkey%202821%20Central%20Ave%2C%20Homewood%2C%20AL%2035209
Little London Kitchen (closed),"Little London Kitchen (closed), Oxmoor Road, Edgemoor Estates, Homewood, Jefferson County, Alabama, 35209, United States",33.4606754,-86.8297084,closed,https://littlelondon.kitchen/,,british,https://www.openstreetmap.org/way/1064827845,https://www.google.com/maps/search/?api=1&query=Little%20London%20Kitchen%20(closed)%2033.4606754%2C-86.8297084
